Eval mode;Time spent; Percent of similitudes; Actions done; Translation for each animated GO 
VR3D;18,82772;100;347;Ch39_nonPBR@Dying.7818A175.698(Clone):(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|;Ch39_nonPBR@Dying.7818A175.698:(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|(0.0, 0.0, 0.0)|;
Eval mode;Time spent; Percent of similitudes; Actions done; Translation for each animated GO 
VR3D;0;0;0;
Eval mode;Time spent; Percent of similitudes; Actions done; Translation for each animated GO 
VR3D;0;0;0;
Eval mode;Time spent; Percent of similitudes; Actions done; Translation for each animated GO 
VR3D;0;0;0;
Eval mode;Time spent; Percent of similitudes; Actions done; Translation for each animated GO 
VR3D;0;0;0;
